exer;reg;lbudg;mpoid_bp;tpf;ftpf;mtpf;imd;fimd;mimd;rimd;rmimd;imt;fimt;mimt;rimt;rmimt;tip;rtdp;rmtdp;dgf;fdgf;mdgf;rdgf;rmdgf;tcf;ftcf;mtcf;chp;fchp;mchp;rchp;rmchp;ace;face;mace;race;rmace;sub;fsub;msub;rsuc;rmsuc;cop;fcop;mcop;rcoo;rmcoo;chf;fchf;mchf;rchf;rmchf;rec;frec;mrec;tri;ftri;mtri;emp;femp;memp;remp;rmemp;sir;fsir;msir;rsir;rmsir;fct;ffct;mfct;rfct;rmfct;tib;ftib;mtib;ded;fded;mded;rded;rmded;rce;frce;mrce;rrce;rmrce;sev;fsev;msev;rsev;rmsev;bfr;fbfr;mbfr;soc;fsoc;msoc;bfi;fbfi;mbfi;res;fres;mres;ebf;febf;mebf;rebf;rmebf;caf;fcaf;mcaf;rcaf;rmcaf;cnr;fcnr;mcnr;rcnr;rmcnr;dba;fdba;mdba;rdbafr;mrdbafr;adb;fadb;madb;radb;rmadb;fdr;ffdr;mfdr;cvaeexor;fcvaeexor;mcvaeexor;cvaer;fcvaer;mcvaer;iferr;fiferr;miferr;tasafbr;ftasafbr;mtasafbr;tasacfer;ftasacfer;mtasacfer;ftip;mtip;strate;erc;ferc;merc;rerc;rmerc;f2rpfr;ff2rpfr;strf2rpfr;f2rcfr;ff2rcfr;strf2rcfr;f1rdba;ff1rbda;strf1rbda;retdr;mretdr
2009;011;REGION ILE-DE-FRANCE;11532398;3461650.0;300.17;300.17;650336.0;56.39;56.39;;;1542972.0;133.79;133.79;;;913485.0;;;731889.0;63.46;63.46;;;2834312.0;245.77;245.77;360378.0;31.25;31.25;;;190710.0;16.54;16.54;;;893619.0;77.49;77.49;;;792279.0;68.7;68.7;;;120575.0;10.46;10.46;;;627338.0;54.4;54.4;2871683.0;249.01;249.01;575769.0;49.93;49.93;;;236594.0;20.52;20.52;;;201724.0;17.49;17.49;;;3270291.0;283.57;283.57;683954.0;59.31;59.31;;;202449.0;17.55;17.55;;;1036779.0;89.9;89.9;;;398608.0;34.56;34.56;5121.0;0.44;0.44;403729.0;35.01;35.01;223609.0;19.39;19.39;;;;;;;;;;;;;;;;3127415.0;271.19;271.19;;;285188.0;24.73;24.73;;;;;;;;;;;;;;;;;;;;;79.21;79.21;Région Ile de France;;;;;;;;;;;;;;;;
2009;021;REG CHAMPAGNE-ARDENNE;1338850;477319.0;356.51;355.89;105783.0;79.01;86.15;;;139909.0;104.5;99.92;;;88459.0;;;130796.0;97.69;92.4;;;416414.0;311.02;288.89;58881.0;43.98;42.85;;;29430.0;21.98;23.97;;;87883.0;65.64;68.23;;;170958.0;127.69;92.5;;;9744.0;7.28;6.94;;;60905.0;45.49;67.0;294167.0;219.72;258.6;33250.0;24.83;55.17;;;26177.0;19.55;14.56;;;6576.0;4.91;14.5;;;303655.0;226.8;250.02;41366.0;30.9;49.08;;;72578.0;54.21;31.75;;;75146.0;56.13;86.74;;;9489.0;7.09;-8.58;51242.0;38.27;1.5;60730.0;45.36;-7.08;175.0;0.13;74.08;;;;;;;;;;;;;;;;328247.0;245.17;232.39;;;81659.0;60.99;38.11;;;;;;;;;;;;;;;;;;;;;66.07;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;022;REG PICARDIE;1894355;766911.0;404.84;355.89;160277.0;84.61;86.15;;;192476.0;101.6;99.92;;;116904.0;;;221159.0;116.75;92.4;;;702453.0;370.81;288.89;94952.0;50.12;42.85;;;39565.0;20.89;23.97;;;184909.0;97.61;68.23;;;236752.0;124.98;92.5;;;11730.0;6.19;6.94;;;64458.0;34.03;67.0;449987.0;237.54;258.6;160000.0;84.46;55.17;;;59846.0;31.59;14.56;;;31819.0;16.8;14.5;;;400269.0;211.3;250.02;82370.0;43.48;49.08;;;21081.0;11.13;31.75;;;201189.0;106.2;86.74;;;-49718.0;-26.25;-8.58;-1619.0;-0.85;1.5;-51337.0;-27.1;-7.08;115795.0;61.13;74.08;;;;;;;;;;;;;;;;473102.0;249.74;232.39;;;32163.0;16.98;38.11;;;;;;;;;;;;;;;;;;;;;61.71;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;023;REG HAUTE-NORMANDIE;1811055;680816.0;375.92;355.89;197110.0;108.84;86.15;;;200511.0;110.71;99.92;;;116722.0;;;150288.0;82.98;92.4;;;533895.0;294.8;288.89;93888.0;51.84;42.85;;;61780.0;34.11;23.97;;;52969.0;29.25;68.23;;;214839.0;118.63;92.5;;;7193.0;3.97;6.94;;;146921.0;81.12;67.0;449779.0;248.35;258.6;80006.0;44.18;55.17;;;22313.0;12.32;14.56;;;29842.0;16.48;14.5;;;386011.0;213.14;250.02;124336.0;68.65;49.08;;;15383.0;8.49;31.75;;;177211.0;97.85;86.74;;;-63767.0;-35.21;-8.58;5507.0;3.04;1.5;-58260.0;-32.17;-7.08;205182.0;113.29;74.08;;;;;;;;;;;;;;;;222076.0;122.62;232.39;;;22361.0;12.35;38.11;;;;;;;;;;;;;;;;;;;;;64.45;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;024;REG CENTRE;2519567;844527.0;335.19;355.89;204051.0;80.99;86.15;;;237362.0;94.21;99.92;;;140283.0;;;242159.0;96.11;92.4;;;699374.0;277.58;288.89;98985.0;39.29;42.85;;;57411.0;22.79;23.97;;;147732.0;58.63;68.23;;;260006.0;103.19;92.5;;;15991.0;6.35;6.94;;;145153.0;57.61;67.0;537002.0;213.13;258.6;65000.0;25.8;55.17;;;42003.0;16.67;14.56;;;32843.0;13.04;14.5;;;504883.0;200.38;250.02;111787.0;44.37;49.08;;;42976.0;17.06;31.75;;;213958.0;84.92;86.74;;;-32119.0;-12.75;-8.58;-94.0;-0.04;1.5;-32213.0;-12.79;-7.08;177366.0;70.4;74.08;;;;;;;;;;;;;;;;529359.0;210.1;232.39;;;58908.0;23.38;38.11;;;;;;;;;;;;;;;;;;;;;55.68;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;025;REG BASSE-NORMANDIE;1456793;526797.0;361.61;355.89;154813.0;106.27;86.15;;;153089.0;105.09;99.92;;;97982.0;;;118277.0;81.19;92.4;;;445046.0;305.5;288.89;66324.0;45.53;42.85;;;36978.0;25.38;23.97;;;145620.0;99.96;68.23;;;107510.0;73.8;92.5;;;5804.0;3.98;6.94;;;81752.0;56.12;67.0;293855.0;201.71;258.6;47937.0;32.91;55.17;;;27333.0;18.76;14.56;;;15769.0;10.82;14.5;;;261503.0;179.51;250.02;38321.0;26.31;49.08;;;9456.0;6.49;31.75;;;171973.0;118.05;86.74;;;-32352.0;-22.21;-8.58;0.0;0.0;1.5;-32352.0;-22.21;-7.08;114103.0;78.32;74.08;;;;;;;;;;;;;;;;242957.0;166.78;232.39;;;14812.0;10.17;38.11;;;;;;;;;;;;;;;;;;;;;67.26;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;026;REG BOURGOGNE;1628837;575955.0;353.6;355.89;141970.0;87.16;86.15;;;168538.0;103.47;99.92;;;102814.0;;;171285.0;105.16;92.4;;;535689.0;328.88;288.89;71002.0;43.59;42.85;;;33658.0;20.66;23.97;;;61985.0;38.06;68.23;;;281658.0;172.92;92.5;;;7175.0;4.41;6.94;;;40265.0;24.72;67.0;415736.0;255.23;258.6;157822.0;96.89;55.17;;;16437.0;10.09;14.56;;;19151.0;11.76;14.5;;;364394.0;223.71;250.02;49325.0;30.28;49.08;;;32888.0;20.19;31.75;;;182090.0;111.79;86.74;;;-51342.0;-31.52;-8.58;464.0;0.29;1.5;-50877.0;-31.24;-7.08;91143.0;55.96;74.08;;;;;;;;;;;;;;;;375262.0;230.39;232.39;;;38642.0;23.72;38.11;;;;;;;;;;;;;;;;;;;;;63.12;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;031;REG NORD-PAS-DE-CALAIS (NPDC);4018644;1462467.0;363.92;355.89;417237.0;103.83;86.15;;;386066.0;96.07;99.92;;;247311.0;;;377502.0;93.94;92.4;;;1213969.0;302.08;288.89;220275.0;54.81;42.85;;;108460.0;26.99;23.97;;;320989.0;79.87;68.23;;;340752.0;84.79;92.5;;;45802.0;11.4;6.94;;;248498.0;61.84;67.0;915932.0;227.92;258.6;312006.0;77.64;55.17;;;63405.0;15.78;14.56;;;65776.0;16.37;14.5;;;849391.0;211.36;250.02;244968.0;60.96;49.08;;;187015.0;46.54;31.75;;;341825.0;85.06;86.74;;;-66541.0;-16.56;-8.58;0.0;0.0;1.5;-66541.0;-16.56;-7.08;315039.0;78.39;74.08;;;;;;;;;;;;;;;;1536797.0;382.42;232.39;;;229303.0;57.06;38.11;;;;;;;;;;;;;;;;;;;;;61.54;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;041;REG LORRAINE;2335749;836644.0;358.19;355.89;182074.0;77.95;86.15;;;258596.0;110.71;99.92;;;163261.0;;;216954.0;92.88;92.4;;;720758.0;308.58;288.89;113833.0;48.74;42.85;;;77814.0;33.31;23.97;;;107284.0;45.93;68.23;;;291217.0;124.68;92.5;;;18772.0;8.04;6.94;;;115886.0;49.61;67.0;449757.0;192.55;258.6;140000.0;59.94;55.17;;;32278.0;13.82;14.56;;;10155.0;4.35;14.5;;;416315.0;178.24;250.02;96240.0;41.2;49.08;;;27291.0;11.68;31.75;;;168974.0;72.34;86.74;;;-33442.0;-14.32;-8.58;0.0;0.0;1.5;-33442.0;-14.32;-7.08;149328.0;63.93;74.08;;;;;;;;;;;;;;;;620545.0;265.67;232.39;;;44522.0;19.06;38.11;;;;;;;;;;;;;;;;;;;;;69.9;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;042;REG ALSACE;1815493;673940.0;371.22;355.89;138545.0;76.31;86.15;;;171428.0;94.42;99.92;;;98187.0;;;188565.0;103.86;92.4;;;548616.0;302.19;288.89;63770.0;35.13;42.85;;;39090.0;21.53;23.97;;;213391.0;117.54;68.23;;;119559.0;65.86;92.5;;;22445.0;12.36;6.94;;;125325.0;69.03;67.0;560968.0;308.99;258.6;93630.0;51.57;55.17;;;40852.0;22.5;14.56;;;22176.0;12.21;14.5;;;550464.0;303.2;250.02;95960.0;52.86;49.08;;;43784.0;24.12;31.75;;;198220.0;109.18;86.74;;;-10504.0;-5.79;-8.58;0.0;0.0;1.5;-10504.0;-5.79;-7.08;135828.0;74.82;74.08;;;;;;;;;;;;;;;;700366.0;385.77;232.39;;;62051.0;34.18;38.11;;;;;;;;;;;;;;;;;;;;;54.08;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
