exer;reg;lbudg;mpoid_bp;tpf;ftpf;mtpf;imd;fimd;mimd;rimd;rmimd;imt;fimt;mimt;rimt;rmimt;tip;rtdp;rmtdp;dgf;fdgf;mdgf;rdgf;rmdgf;tcf;ftcf;mtcf;chp;fchp;mchp;rchp;rmchp;ace;face;mace;race;rmace;sub;fsub;msub;rsuc;rmsuc;cop;fcop;mcop;rcoo;rmcoo;chf;fchf;mchf;rchf;rmchf;rec;frec;mrec;tri;ftri;mtri;emp;femp;memp;remp;rmemp;sir;fsir;msir;rsir;rmsir;fct;ffct;mfct;rfct;rmfct;tib;ftib;mtib;ded;fded;mded;rded;rmded;rce;frce;mrce;rrce;rmrce;sev;fsev;msev;rsev;rmsev;bfr;fbfr;mbfr;soc;fsoc;msoc;bfi;fbfi;mbfi;res;fres;mres;ebf;febf;mebf;rebf;rmebf;caf;fcaf;mcaf;rcaf;rmcaf;cnr;fcnr;mcnr;rcnr;rmcnr;dba;fdba;mdba;rdbafr;mrdbafr;adb;fadb;madb;radb;rmadb;fdr;ffdr;mfdr;cvaeexor;fcvaeexor;mcvaeexor;cvaer;fcvaer;mcvaer;iferr;fiferr;miferr;tasafbr;ftasafbr;mtasafbr;tasacfer;ftasacfer;mtasacfer;ftip;mtip;strate;erc;ferc;merc;rerc;rmerc;f2rpfr;ff2rpfr;strf2rpfr;f2rcfr;ff2rcfr;strf2rcfr;f1rdba;ff1rbda;strf1rbda;retdr;mretdr
2014;053;REG BRETAGNE;3217767;1029712.0;320.01;390.63;181472.0;56.4;62.18;20.75;18.01;403610.0;125.43;126.42;40.06;36.61;226624.0;22.49;18.71;247125.0;76.8;87.94;24.53;25.47;923469.0;286.99;336.96;144698.0;44.97;48.51;19.43;17.89;91828.0;28.54;32.33;12.33;11.92;161944.0;50.33;62.53;21.75;23.06;275510.0;85.62;96.63;37.0;35.63;10037.0;3.12;8.75;1.35;3.23;106243.0;33.02;53.67;804787.0;250.11;244.78;260000.0;80.8;49.06;32.31;20.04;37569.0;11.68;15.5;4.67;6.33;13448.0;4.18;6.62;1.67;2.7;733250.0;227.88;237.52;104986.0;32.63;36.98;14.32;15.57;41040.0;12.75;26.31;5.6;11.08;408132.0;126.84;86.07;55.66;36.24;-71537.0;-22.23;-7.27;0.0;0.0;0.79;-71537.0;-22.23;-6.48;177780.0;55.25;60.15;269942.0;83.89;82.78;26.79;23.97;262878.0;81.7;74.1;26.09;21.46;221839.0;68.94;47.79;22.02;13.84;653273.0;203.02;307.68;0.0;0.0;48135.0;14.96;34.93;4.78;10.12;26447.0;8.22;15.06;267.0;0.08;0.05;152615.0;47.43;52.22;28835.0;8.96;10.23;;;;;;;70.43;64.6;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2013;053;REG BRETAGNE;3199066;1055624.0;329.98;387.67;181665.0;56.79;62.92;20.14;18.09;367679.0;114.93;107.38;35.38;30.87;226646.0;21.81;18.27;257173.0;80.39;91.16;24.75;26.21;893279.0;279.23;328.07;139899.0;43.73;46.94;18.95;17.59;92122.0;28.8;31.92;12.48;11.96;159351.0;49.81;62.71;21.59;23.5;275212.0;86.03;97.14;37.28;36.4;8046.0;2.52;8.44;1.09;3.16;162345.0;50.75;59.59;672207.0;210.13;227.9;130000.0;40.64;36.98;19.34;16.23;46198.0;14.44;15.07;6.87;6.61;13285.0;4.15;6.84;1.98;3.0;687091.0;214.78;231.35;86495.0;27.04;37.51;12.59;16.21;34210.0;10.69;25.59;4.98;11.06;373432.0;116.73;82.39;54.35;35.61;14884.0;4.65;3.45;0.0;0.0;1.18;14884.0;4.65;4.64;147461.0;46.09;54.95;308335.0;96.38;87.72;29.67;25.22;300964.0;94.08;81.0;28.96;23.29;266754.0;83.39;55.41;25.67;15.93;434530.0;135.83;284.52;0.0;0.0;39995.0;12.5;34.86;3.85;10.02;10607.0;3.32;16.96;213.0;0.07;0.06;151425.0;47.33;52.55;28969.0;9.06;10.3;;;;;;;70.85;63.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2017;053;REG BRETAGNE;3276543;1264519.0;385.93;447.67;360937.0;110.16;114.51;29.59;29.55;504768.0;154.06;149.24;41.39;38.51;241910.0;19.83;17.29;184618.0;56.35;65.75;15.14;16.97;1158139.0;353.46;389.02;157441.0;48.05;51.05;17.13;16.51;118398.0;36.14;47.7;12.88;15.43;170259.0;51.96;72.28;18.52;23.38;387674.0;118.32;109.44;42.17;35.4;10777.0;3.29;8.04;1.17;2.6;106380.0;32.47;58.65;797793.0;243.49;231.79;147487.0;45.01;32.98;18.49;14.23;49729.0;15.18;27.23;6.23;11.75;15043.0;4.59;6.75;1.89;2.91;870326.0;265.62;241.5;179966.0;54.93;40.0;20.68;16.56;48823.0;14.9;22.59;5.61;9.35;347714.0;106.12;85.52;39.95;35.41;72533.0;22.14;9.71;0.0;0.0;-0.6;72533.0;22.14;9.11;33848.0;10.33;49.54;305828.0;93.34;83.8;25.08;21.62;300337.0;91.66;78.41;24.62;20.23;251514.0;76.76;55.83;20.62;14.41;997390.0;304.4;360.05;81.78;92.9;55682.0;16.99;28.8;4.57;7.43;43552.0;13.29;15.09;484.0;0.15;0.09;330468.0;100.86;111.57;28927.0;8.83;10.12;0.0;0.0;0.0;0.0;0.0;0.0;73.83;67.01;Régions de métropole hors Idf et Corse;993362.0;303.17;357.02;81.45;92.12;1219649.0;372.24;387.56;919313.0;280.57;309.15;993362.0;303.17;357.02;81.45;92.12
2018;053;REG BRETAGNE;3293850;1289936.0;391.62;478.13;371653.0;112.83;129.28;30.38;31.92;679286.0;206.23;219.59;55.52;54.22;271934.0;22.23;19.55;0.0;0.0;0.0;0.0;0.0;1232560.0;374.2;418.58;162662.0;49.38;52.87;17.06;16.37;151806.0;46.09;58.66;15.92;18.16;183111.0;55.59;68.6;19.21;21.24;370236.0;112.4;114.5;38.84;35.45;10677.0;3.24;8.04;1.12;2.49;57375.0;17.42;59.55;875719.0;265.86;261.34;160000.0;48.58;34.17;18.27;13.08;100528.0;30.52;37.17;11.48;14.22;19800.0;6.01;6.8;2.26;2.6;796931.0;241.95;258.25;178594.0;54.22;37.01;22.41;14.33;45773.0;13.9;27.58;5.74;10.68;308335.0;93.61;95.87;38.69;37.12;-78787.0;-23.92;-3.09;0.0;0.0;-0.78;-78787.0;-23.92;-3.87;136163.0;41.34;63.42;275662.0;83.69;87.81;22.53;21.68;270156.0;82.02;82.02;22.08;20.25;224383.0;68.12;54.44;18.34;13.44;1113219.0;337.97;367.09;90.99;90.64;53005.0;16.09;33.71;4.33;8.32;75209.0;22.83;20.43;422.0;0.13;0.08;335627.0;101.89;112.91;28267.0;8.58;9.93;0.0;0.0;0.0;0.0;0.0;0.0;82.56;79.17;Régions de métropole hors Idf et Corse;1107589.0;336.26;363.85;90.53;89.84;1223482.0;371.44;405.02;953326.0;289.43;322.99;1107589.0;336.26;363.85;90.53;89.84
2016;053;REG BRETAGNE;3258707;1062258.0;325.98;400.07;188842.0;57.95;63.96;18.45;18.52;481190.0;147.66;148.25;47.01;42.93;240379.0;23.48;19.55;204270.0;62.68;73.1;19.96;21.17;964077.0;295.85;348.48;149207.0;45.79;49.73;20.06;18.21;85264.0;26.17;31.99;11.46;11.71;160300.0;49.19;65.06;21.55;23.82;263602.0;80.89;95.98;35.44;35.14;11719.0;3.6;8.33;1.58;3.05;98181.0;30.13;51.59;787859.0;241.77;227.82;220000.0;67.51;40.85;27.92;17.93;34367.0;10.55;15.12;4.36;6.64;12239.0;3.76;6.11;1.55;2.68;750537.0;230.32;230.28;97674.0;29.97;36.73;13.01;15.95;160320.0;49.2;24.52;21.36;10.65;228906.0;70.24;78.66;30.5;34.16;-37323.0;-11.45;2.46;0.0;0.0;0.41;-37323.0;-11.45;2.87;135504.0;41.58;48.72;289488.0;88.84;79.26;28.28;22.95;279874.0;85.89;72.17;27.34;20.9;119555.0;36.69;47.65;11.68;13.8;897600.0;275.45;351.18;87.41;99.15;167036.0;51.26;30.88;16.32;8.94;106646.0;32.73;16.3;178.0;0.05;0.03;159852.0;49.05;53.99;28993.0;8.9;10.19;0.0;0.0;0.0;0.0;0.0;0.0;73.77;67.51;Régions de métropole hors Idf et Corse;894698.0;274.56;348.1;3.2;100.81;;;;;;;;;;;
2012;053;REG BRETAGNE;3175064;1015896.0;319.96;383.25;170456.0;53.69;60.37;;;370022.0;116.54;108.21;;;223736.0;;;259325.0;81.68;91.35;;;858763.0;270.47;318.43;133703.0;42.11;46.01;;;81005.0;25.51;30.56;;;166163.0;52.33;65.53;;;272960.0;85.97;93.82;;;8452.0;2.66;8.07;;;157133.0;49.49;64.82;566556.0;178.44;230.91;70000.0;22.05;38.3;;;31529.0;9.93;14.59;;;12214.0;3.85;6.49;;;575732.0;181.33;226.91;88706.0;27.94;40.04;;;39430.0;12.42;24.99;;;286780.0;90.32;74.3;;;9176.0;2.89;-4.0;0.0;0.0;1.37;9176.0;2.89;-2.63;147957.0;46.6;67.45;;;;;;;;;;;;;;;;339933.0;107.06;273.45;;;45363.0;14.29;31.81;;;;;;287.0;0.09;0.07;140915.0;44.38;49.68;28248.0;8.9;10.16;;;;;;;70.47;63.38;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2011;053;REG BRETAGNE;3149701;994776.0;315.83;375.62;170516.0;54.14;59.46;;;333615.0;105.92;106.93;;;217246.0;;;259325.0;82.33;91.82;;;828588.0;263.07;309.64;128773.0;40.88;44.98;;;63409.0;20.13;29.34;;;204266.0;64.85;66.36;;;256581.0;81.46;93.35;;;9384.0;2.98;7.85;;;166188.0;52.76;65.97;522919.0;166.02;227.94;9000.0;2.86;34.2;;;42162.0;13.39;14.81;;;11196.0;3.55;7.28;;;501746.0;159.3;222.17;79129.0;25.12;40.42;;;32215.0;10.23;21.54;;;226244.0;71.83;75.18;;;-21173.0;-6.72;-5.77;0.0;0.0;0.38;-21173.0;-6.72;-5.39;187361.0;59.49;71.36;;;;;;;;;;;;;;;;309786.0;98.35;259.54;;;39581.0;12.57;28.17;;;;;;53.0;0.02;0.06;139879.0;44.41;48.31;27937.0;8.87;10.18;;;;;;;68.97;63.15;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2008;053;REG BRETAGNE;2906197;913078.0;314.18;360.14;203085.0;69.88;83.0;;;298285.0;102.64;101.23;;;178006.0;;;249142.0;85.73;94.21;;;683802.0;235.29;281.34;100303.0;34.51;40.22;;;66499.0;22.88;23.95;;;157161.0;54.08;69.89;;;243417.0;83.76;91.27;;;15918.0;5.48;8.9;;;229275.0;78.89;78.8;561794.0;193.31;242.71;37392.0;12.87;48.73;;;46344.0;15.95;13.71;;;12049.0;4.15;7.31;;;538039.0;185.13;242.06;113187.0;38.95;50.58;;;26512.0;9.12;27.55;;;230818.0;79.42;85.97;;;-23755.0;-8.17;-0.66;0.0;0.0;0.73;-23755.0;-8.17;0.07;253030.0;87.07;78.73;;;;;;;;;;;;;;;;366997.0;126.28;219.24;;;39546.0;13.61;35.36;;;;;;;;;;;;;;;;;;;;;61.25;57.57;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2009;053;REG BRETAGNE;3094534;948248.0;306.43;355.89;213898.0;69.12;86.15;;;312445.0;100.97;99.92;;;188023.0;;;253738.0;82.0;92.4;;;745939.0;241.05;288.89;114388.0;36.96;42.85;;;63711.0;20.59;23.97;;;175462.0;56.7;68.23;;;247846.0;80.09;92.5;;;12016.0;3.88;6.94;;;202309.0;65.38;67.0;593712.0;191.86;258.6;15000.0;4.85;55.17;;;55689.0;18.0;14.56;;;33323.0;10.77;14.5;;;584012.0;188.72;250.02;149993.0;48.47;49.08;;;32562.0;10.52;31.75;;;220521.0;71.26;86.74;;;-9700.0;-3.13;-8.58;-6.0;0.0;1.5;-9707.0;-3.14;-7.08;212016.0;68.51;74.08;;;;;;;;;;;;;;;;349435.0;112.92;232.39;;;41245.0;13.33;38.11;;;;;;;;;;;;;;;;;;;;;60.76;58.82;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
2010;053;REG BRETAGNE;3120288;957446.0;306.85;367.02;224042.0;71.8;88.9;;;300921.0;96.44;99.64;;;187955.0;;;256792.0;82.3;92.38;;;787086.0;252.25;299.55;123100.0;39.45;44.18;;;60948.0;19.53;26.54;;;189690.0;60.79;67.46;;;250384.0;80.24;91.75;;;10220.0;3.28;7.15;;;170360.0;54.6;67.47;514934.0;165.03;227.5;12000.0;3.85;39.18;;;39045.0;12.51;14.82;;;14191.0;4.55;8.18;;;475131.0;152.27;226.1;85335.0;27.35;43.15;;;30813.0;9.88;23.13;;;216541.0;69.4;76.95;;;-39803.0;-12.76;-1.4;0.0;0.0;0.1;-39803.0;-12.76;-1.3;210163.0;67.35;68.77;;;;;;;;;;;;;;;;333420.0;106.86;246.88;;;38516.0;12.34;29.17;;;;;;;;;;;;;;;;;;;;;60.24;58.7;Régions de métropole hors Idf et Corse;;;;;;;;;;;;;;;;
